,barcode,postcode,district,latitude,longitude
0,MB276583140GB,EH216NX,EH21,55.939856000000006,-3.0655134
1,PJ867032419GB,EH145SW,EH14,55.890223,-3.3303288
2,HP492870531GB,EH113BD,EH11,55.936344999999996,-3.2533391
3,LV978251603GB,EH75NW,EH7,55.96030699999999,-3.1723717999999996
4,EG047658129GB,EH152NW,EH15,55.944777,-3.0945816
5,NW850641927GB,EH129AW,EH12,55.932246,-3.2797301
6,PG537108942GB,EH145QE,EH14,55.896023,-3.3148871
7,EY839407561GB,EH92LP,EH9,55.931263,-3.1838992999999998
8,QT318256470GB,EH332QT,EH33,55.93393199999999,-2.9493796000000003
9,KL236579840GB,EH526NG,EH52,55.946943000000005,-3.509429
10,UQ940271586GB,EH385YR,EH38,55.770405000000004,-2.9392153999999997
11,UJ107938465GB,EH145EJ,EH14,55.903713,-3.2912824
12,XF705948261GB,EH288TH,EH28,55.94234,-3.4055912000000004
13,QU415238976GB,EH209ED,EH20,55.881640000000004,-3.1542051
14,MZ016284759GB,EH558SE,EH55,55.857976,-3.5545788000000003
15,EV073849521GB,EH470EW,EH47,55.866868000000004,-3.6951187999999995
16,LV583971624GB,EH89NS,EH8,55.948368,-3.158851
17,QO278049613GB,EH193NS,EH19,55.872728,-3.0939438999999997
18,JL987312460GB,EH152AA,EH15,55.951535,-3.1124522999999997
19,DF534068921GB,EH112HJ,EH11,55.942836,-3.2244403999999998
20,IJ641258903GB,EH112NE,EH11,55.939088,-3.2289809
21,MR635047182GB,EH12PB,EH1,55.949379,-3.1940284
22,RC069423817GB,EH458QB,EH45,55.714628000000005,-3.2051608
23,QN704238961GB,EH43SR,EH4,55.958816000000006,-3.2657903999999998
24,ZC674259103GB,EH105FT,EH10,55.92619499999999,-3.2134967
25,JF631794058GB,EH142JL,EH14,55.916931000000005,-3.2635287999999996
26,RZ924658130GB,EH478ES,EH47,55.865841,-3.6583984
27,DO914732508GB,EH111SP,EH11,55.932655000000004,-3.2307781
28,SM410628937GB,EH75PJ,EH7,55.958891,-3.1719766
29,AR103659827GB,EH394HA,EH39,56.058225,-2.7224459999999997
30,BA219865470GB,EH436AX,EH43,55.623665,-3.019868
31,BX594230716GB,EH413QS,EH41,55.959388,-2.7732196
32,IM162503497GB,EH48DH,EH4,55.954831000000006,-3.3016487999999997
33,OS328915674GB,EH129DH,EH12,55.937096999999994,-3.3198165
34,QW038512476GB,EH268DH,EH26,55.836026000000004,-3.2133367
35,RI786934051GB,EH483NU,EH48,55.905501,-3.6996196000000006
36,NM286459103GB,EH320HW,EH32,55.970806,-2.9612097
37,BZ963472015GB,EH75PF,EH7,55.960678,-3.1720787
38,ZJ290674851GB,EH91EB,EH9,55.938815000000005,-3.2001872000000002
39,YI290317458GB,EH128GN,EH12,55.947342000000006,-3.3079629
40,SO275890463GB,EH126JQ,EH12,55.944933999999996,-3.2525597
41,VC973685140GB,EH36TT,EH3,55.956786,-3.2094245
42,ZF581937264GB,EH166AF,EH16,55.917263,-3.168
43,QO297510648GB,EH375QZ,EH37,55.866479000000005,-2.9701998
44,CZ385614270GB,EH43AL,EH4,55.953644,-3.2200089
45,DF268019437GB,EH151SU,EH15,55.946066,-3.1348408
46,SX528493016GB,EH192EX,EH19,55.879612,-3.1079484
47,MN865019743GB,EH47RB,EH4,55.957841,-3.2947822999999996
48,DR529687410GB,EH66JS,EH6,55.976110999999996,-3.1790675999999998
49,WH286071349GB,EH89TQ,EH8,55.946968999999996,-3.1821368
