,EH129PB,EH88AD,EH67PJ,EH92JP,EH93AX,EH177ER,EH37RN,EH12QP,EH45PZ,EH41NS,EH45HJ,EH139EU,EH23AH,EH75AH,EH87AZ,EH64AE,EH91ER,EH64PW,EH129AD,EH24JS,EH47QH,EH89SD,EH91NH,EH13NZ,EH130LX,EH66DN,EH13LH,EH13PR,EH66QH,EH21EY,EH38BL,EH43HY,EH91DT,EH127DA,EH68EG,EH39JR,EH47AL,EH89TE,EH52QW,EH45NE,EH53AH,EH164WG,EH36ES,EH92JT,EH91HT,EH23AA,EH13QY,EH47LJ,EH46QT,EH43HB,EH111RF,EH11HD,EH89LZ,EH91ES,EH75QQ,EH39QS,EH44GJ,EH37EB,EH52GS,EH51NQ,EH42GF,EH130NE,EH36TG,EH65FP,EH74FB,EH39LA,EH89RD,EH36RY,EH114NS,EH66SZ,EH36RL,EH89AD,EH36PT,EH87RG,EH65JR,EH193NP,EH89JH,EH64DB,EH88FH,EH87RN,EH38HE,EH74EQ,EH89QB,EH38BB,EH46AN,EH112DW,EH142LQ,EH39FE,EH74JZ,EH35AF,EH91SL,EH76LW,EH39QG,EH35DQ,EH181BF,EH87RP,EH41AW,EH112TJ,EH129EG,EH52LR,EH145QP,EH165JT,EH53JD,EH209LZ,EH13NX,EH47SJ,EH107BN,EH74AT,EH47AJ,EH35EA,EH145BY,EH89JD,EH35ET,EH112AT,EH64EH,EH87HB,EH39HJ,EH65NU,EH106PS,EH36TJ,EH12PF,EH35QH,EH46ES,EH106AU,EH125EZ,EH39JZ,EH47DR,EH43ED,EH39SR,EH64QY,EH45BP,EH39LT,EH89LW,EH91PL,EH66JJ,EH35AQ,EH89JS,EH65HX
EH129PB,0.0,10.092,31.141,17.477,18.363,19.319000000000006,8.089,9.503,9.204,11.023,7.505,12.173,9.825,11.513,27.121,13.415,9.68,13.485,2.1,9.115,5.682,10.687,10.31,10.671,4.695,14.067,10.316,9.987,14.439,9.114,8.725,8.052999999999999,9.021,3.164,14.969,8.732999999999999,7.7120000000000015,10.457,10.752,9.129,12.175999999999998,23.032,9.524,17.416,9.705,9.751,10.16,4.71,7.147,9.685,6.47,9.818,10.199,9.716,11.609000000000002,8.908999999999997,8.434,7.981,10.425999999999998,11.135,10.111,4.9860000000000015,9.464,14.009,13.255999999999998,8.866,10.938,10.358,2.748,14.333,10.058,10.852,10.343,25.635,13.86,23.717,10.485,13.118,10.127,26.174,8.119,13.237,10.578,7.758999999999999,7.66,6.774,5.1629999999999985,9.319,10.937,11.617,17.846,30.215,7.499,10.026,18.743,25.943,10.564,6.94,0.165,10.548,7.6320000000000014,19.243,12.428,17.137,10.61,4.897,12.226,10.841,7.647,12.753,5.372000000000001,10.334,12.047,7.396,14.366,26.711,9.214,13.378,13.237,9.591,9.677,12.06,6.009,14.594,7.028,8.885,5.356,7.9929999999999986,8.104,12.929,7.405,8.975,11.437,10.182,14.130999999999998,11.527,10.887,14.107
EH88AD,9.275,0.0,3.603,2.254,3.588,5.823,2.754,1.221,8.958,2.782,7.258999999999999,7.2879999999999985,1.694,1.5619999999999998,2.777,3.834,2.539,4.55,8.46,2.005,8.377,1.012,1.551,1.65,7.314,3.615,1.876,2.062,3.785,1.602,1.821,4.243,2.91,6.662000000000001,3.17,1.854,7.0920000000000005,0.669,4.909,7.869,4.183,6.492000000000001,2.022,2.332,2.564,1.619,1.811,8.971,9.094,4.013,3.979,1.185,1.352,2.574,1.825,2.033,6.547999999999999,2.912,5.591,5.442,4.812,7.282999999999999,1.961,3.262,2.967,1.961,1.5590000000000002,2.4330000000000003,7.995,3.63,2.133,1.103,2.418,4.373,3.489,13.356,1.062,3.913,0.339,4.211,2.248,2.668,1.515,2.355,7.414,2.824,7.0120000000000005,1.967,2.318,2.381,1.957,3.202,1.913,2.101,10.394,3.98,3.142,3.089,9.399,5.712999999999999,11.264,2.476,4.507,10.31,1.588,8.937999999999997,10.875,1.812,7.217,2.408,8.988999999999997,1.331,2.33,3.21,4.32,2.902,1.801,3.877,7.256,2.085,1.329,3.1010000000000004,8.246,5.408,3.177,1.98,8.745,3.758,2.212,4.383,7.159,2.655,1.6880000000000002,1.375,4.373,2.486,1.4580000000000002,3.131
EH67PJ,13.284,3.594,0.0,5.852,7.186,9.49,5.147,4.8,9.314,4.817,9.373,10.907,4.609,2.647,2.521,2.002,6.542000000000002,2.717,12.468,4.563,10.074,4.485,5.733,3.275,10.89,2.119,3.444,3.644,1.454,4.238,5.824,7.049,6.9129999999999985,9.959,0.921,5.327000000000001,8.986,4.142,6.585,8.979,3.393,6.955,4.282,5.93,6.037000000000001,4.535,3.38,10.732,10.692,6.386,7.555,4.7639999999999985,4.825,6.577000000000001,1.816,5.506,8.605,5.42,7.028,5.84,5.7620000000000005,10.859000000000002,4.043,1.719,3.285,5.434,6.001,3.529,11.571,1.318,3.954,4.575,3.514,4.6110000000000015,1.946,14.704,4.535,2.498,3.83,3.954,5.489,2.986,5.3260000000000005,6.358,9.401,6.282,10.588,5.443,2.948,4.125,5.555,2.41,5.916,3.767,13.352,3.723,5.176,6.5470000000000015,13.407,6.573,27.862,6.074,4.249,17.275,3.213,10.454,17.563,2.761,8.921,3.575,24.694000000000006,4.8039999999999985,3.655,6.667999999999998,2.4290000000000003,2.6460000000000004,5.803,2.334,19.112,4.119,5.063,4.162,9.943,9.028,6.635,5.4529999999999985,10.261,6.437,5.4529999999999985,3.064,9.593,6.658,5.16,4.847,2.772,4.52,4.931,1.2990000000000002
EH92JP,9.853,2.085,6.023,0.0,1.416,4.331,3.817,1.712,9.636,4.422,7.938,5.052,3.16,3.982,4.649,6.254,1.5590000000000002,6.9689999999999985,9.038,3.5610000000000004,9.055,1.218,0.674,3.199,7.225,6.034,3.425,3.528,6.204,3.559,2.499,4.922,1.844,8.589,6.5,2.114,7.77,1.6369999999999998,6.434,9.016,5.65,5.501,3.97,0.387,1.187,3.0860000000000003,3.36,10.898,9.773,4.692,3.527,2.024,0.73,1.439,4.244,2.293,8.321,3.59,6.797999999999999,6.9670000000000005,6.061,7.194,3.909,5.682,4.516,2.02,1.225,4.059,8.14,6.049,3.6,1.383,4.044,5.03,5.909,10.588,1.016,5.056,2.12,4.592,2.884,4.217,0.747,3.034,8.092,3.502,6.922999999999999,2.355,3.867,4.333,0.366,5.074,2.501,3.567,8.443999999999999,4.3610000000000015,4.667,3.767,9.976,6.92,11.076,1.485,5.974,8.36,3.137,10.865,6.771,3.361,7.895,3.875,8.801,0.865,3.796,3.888,6.739,4.774,2.48,6.296,5.02,4.0360000000000005,2.309,4.567,8.924,3.173,3.855,2.039,10.672,4.436,2.847,5.526,7.8370000000000015,1.879,1.968,0.6629999999999999,6.792000000000002,4.437,1.418,5.551
EH93AX,19.229,3.615,7.184,1.416,0.0,3.281,5.042,2.87,10.861,5.647,9.163,4.836,4.3180000000000005,5.143,5.81,7.415,2.944,8.13,9.338,4.785,20.905,2.747,1.832,6.0870000000000015,7.526,7.195,4.583,4.686,7.365,4.227,3.724,6.146,2.965,8.565,7.662000000000001,3.339,8.995,3.167,7.659,10.241,8.292,4.647,5.195,1.5530000000000002,2.573,4.244,4.518,20.674,10.998,5.917000000000002,4.565,3.182,1.888,2.825,5.405,3.518,9.545,4.815,8.023,8.192,7.286,7.495,5.134,6.843,7.404,3.245,2.577,6.948,8.441,7.21,4.758,2.541,6.932,5.414,7.07,9.171,2.341,7.4929999999999986,3.65,4.976,4.1080000000000005,7.105,2.009,4.258,9.317,4.727,7.224,3.513,6.755,5.006,1.487,6.235,3.726,4.725,7.028,4.745,5.892,4.992,19.398,8.144,17.807000000000006,1.294,9.31,6.944,6.026,20.861,7.508999999999999,6.249,9.12,5.033,14.64,2.19,4.954,5.113,7.9,5.513,3.638,7.457000000000002,5.7,5.261,3.467,7.904,21.232,2.9560000000000004,5.08,3.264,21.32,5.6610000000000005,4.072,7.962999999999999,9.062,3.104,3.1260000000000003,1.821,7.9529999999999985,5.662000000000001,2.576,6.7120000000000015
EH177ER,19.88,5.934,9.504,4.331,3.281,0.0,7.8610000000000015,5.69,25.079,8.467,23.38,7.435,7.506,7.4620000000000015,6.473,9.472,5.8020000000000005,10.188,17.032,7.605,21.557,5.067,4.651,8.406,14.615,9.253,9.182,9.383,10.494000000000002,7.415,6.544,8.966000000000003,6.0870000000000015,17.745,8.325,6.158,23.587,5.4860000000000015,12.387,25.004,10.863,3.4360000000000004,7.834,4.63,5.43,7.432,9.118,21.326,23.023000000000003,8.736,8.305,6.002000000000002,4.627,5.682,7.724,6.3370000000000015,24.309,7.635,26.301,14.879,10.105,14.906,7.774,9.19,9.723,6.064,4.896,9.267,15.869000000000002,9.268,7.9460000000000015,5.3610000000000015,9.252,6.425,9.417,8.327,4.756,9.969,5.9689999999999985,5.525,6.928,9.424,4.425,7.0779999999999985,23.535,7.5470000000000015,15.083,6.332000000000002,9.074,8.193999999999999,4.255,6.898,6.545,7.9129999999999985,5.876,5.295,8.711,7.812,20.05,26.423,18.459,3.458,13.289,7.941,8.345,21.513,8.161,8.568999999999999,23.522,9.635,15.291,4.605,9.715,7.933,11.468,6.063,6.457000000000002,9.805,6.634,7.898,6.959,10.223,21.884,6.194,7.9,6.082999999999998,21.972,8.48,6.892,10.535,23.28,5.922999999999999,5.9460000000000015,4.641,11.812,8.299,5.395,8.769
EH37RN,9.108,2.748,5.148,3.849,5.066,7.778,0.0,2.459,6.621,0.994,4.923,6.568,1.902,3.424,4.598,5.0360000000000005,2.636,5.107,7.001,1.046,6.04,3.4560000000000004,3.266,2.4330000000000003,6.127000000000002,5.689,2.0780000000000003,1.7480000000000002,6.061,1.115,1.711,1.759,2.475,4.812,4.715,1.6880000000000002,4.68,3.113,3.006,6.001,3.797,8.843,1.286,3.705,2.661,1.828,1.921,6.699,6.757999999999999,1.6769999999999998,2.7910000000000004,2.774,3.155,2.672,3.37,1.865,4.3260000000000005,0.336,3.37,3.539,2.633,6.095,1.225,3.943,2.9610000000000003,1.822,3.894,2.119,6.752999999999999,5.955,1.819,3.808,2.104,6.194,3.794,14.095999999999998,3.4410000000000003,4.739,2.782,6.0310000000000015,1.012,2.9410000000000003,3.534,1.251,5.077,1.351,5.824,2.274,2.698,1.692,3.63,4.944,1.489,1.787,11.952,5.8,1.239,1.616,7.934,3.492,11.203,4.827,4.302,12.992,2.371,6.421,9.104,2.602,4.887,2.2,7.801,3.29,2.122,1.737,5.533,4.722,2.204,4.999,6.705,1.352,2.177,3.036,5.909,5.22,1.704,1.841,6.228,1.274,1.385,4.551,4.822,1.931,4.393,3.137,5.752000000000002,1.602,3.843,3.865
EH12QP,9.221,1.156,4.674,3.33,4.44,6.675,2.502,0.0,8.833,2.532,7.134,6.8660000000000005,1.444,2.605,3.629,4.438,2.117,4.785,8.405,1.755,8.252,1.864,1.639,2.0380000000000003,7.258999999999999,3.954,2.141,1.812,4.856,1.352,1.328,3.75,1.973,7.564,4.2410000000000005,1.1840000000000002,8.236,1.521,4.659,7.619,3.933,7.3439999999999985,1.7719999999999998,3.1860000000000004,2.142,1.369,1.985,9.873,8.969,3.888,3.924,0.307,1.4409999999999998,2.153,2.8960000000000004,1.3630000000000002,6.297999999999999,2.419,5.341,5.192,4.562,7.228,1.711,3.537,3.025,1.3030000000000002,2.412,2.1830000000000003,7.94,4.7010000000000005,1.883,1.378,2.168,5.225,3.858,14.208,1.158,4.106,1.1909999999999998,5.063,1.859,3.005,2.367,1.862,7.289,2.331,6.957000000000002,0.986,2.762,2.131,2.809,4.0539999999999985,1.42,1.851,10.305,4.832,2.892,2.596,9.344,5.462999999999999,11.21,3.3280000000000003,4.257,10.221,1.976,9.84,7.409,2.2,8.361,2.158,8.934,1.308,2.08,2.717,4.999,3.754,1.111,4.061,6.834,1.835,0.5920000000000001,2.8510000000000004,8.121,4.987,2.684,1.3219999999999998,9.647,3.264,1.823,4.331,7.034,1.338,2.54,1.463,5.052,2.236,1.734,3.471
EH45PZ,7.848,6.848,7.292000000000002,7.965,9.183,23.714,4.886,6.575,0.0,4.563,1.013,16.567999999999998,6.432,7.187,8.36,5.305,6.752999999999999,5.376,6.457000000000002,5.575,2.79,7.758999999999999,7.382999999999999,6.195,8.67,5.957999999999998,5.629,5.829,6.33,5.08,5.8279999999999985,3.278,6.5920000000000005,5.3260000000000005,6.859,5.805,1.7009999999999998,7.395,2.643,1.05,4.066,27.427,5.023,7.822,6.778,6.358,5.564,3.448,2.8480000000000003,3.225,6.2570000000000014,6.891,7.272,6.789,6.931,5.981,0.46,4.664,2.316,3.321,2.002,8.639,4.794,5.899,5.146,5.939,8.011000000000001,5.714,7.7120000000000015,6.224,5.134,7.925,5.698,9.956,5.75,28.112,7.558,5.008,7.065,9.793,5.127999999999999,5.127000000000002,7.65,5.3679999999999986,1.167,5.468,8.368,6.391,5.454,4.607,7.747000000000001,8.707,5.606,4.9510000000000005,23.138,9.562,3.5010000000000003,5.733,8.017999999999999,2.438,12.078,8.943999999999997,4.319,21.532,6.132999999999999,3.17,16.621,5.775,1.6369999999999998,4.643,10.550999999999998,7.407,5.079,5.854,6.551,8.485,6.3210000000000015,5.269,17.632,4.637,6.707000000000002,3.951,2.658,8.686,5.8210000000000015,5.957999999999998,2.977,3.752,7.365,4.82,0.893,6.047999999999999,8.51,7.254,6.021,4.516,7.959,5.997000000000001
EH41NS,10.776,2.778,4.865,4.538,5.997000000000001,8.709,0.994,2.664,6.297999999999999,0.0,4.6,7.5,1.947,3.61,4.783,4.525,3.326,4.595,8.084,1.6840000000000002,5.7170000000000005,4.159,3.956,2.6180000000000003,7.058,3.661,2.053,1.541,5.549,1.168,2.642,2.231,3.164,5.895,4.432,2.378,4.357,3.816,2.495,5.455,3.286,9.77,1.111,4.395,3.3510000000000004,1.873,1.714,6.376,6.435,1.354,3.722,2.628,3.845,3.361,3.354,2.5540000000000003,4.133,1.267,3.177,3.027,2.398,7.026,0.882,3.074,1.81,2.512,4.706,1.716,7.836,3.927,1.231,4.498,1.7009999999999998,6.38,2.924,15.027,4.13,4.227,3.486,6.2170000000000005,1.943,1.791,4.223,2.1830000000000003,4.754,2.282,6.756,2.964,2.295,0.6940000000000001,4.32,5.13,2.42,1.048,12.642,5.9860000000000015,0.728,2.547,10.945,3.299,12.286,5.622999999999998,3.79,13.923,2.557,6.098,10.036,2.198,4.564,1.202,8.732999999999999,3.98,1.124,2.668,5.022,4.908,2.709,3.128,7.636,0.725,2.2230000000000003,2.525,5.586,6.152,2.635,2.53,5.905,1.617,2.089,4.039,4.499,2.62,5.324,3.827,5.2410000000000005,0.604,4.532,3.483
