,barcode,postcode,district,latitude,longitude
0,JX365749785GB,SA14JL,SA1,51.617292,-3.95736
1,FR427141100GB,SA129DQ,SA12,51.610731,-3.770288
2,FY278562790GB,SA14JE,SA1,51.616168,-3.958439
3,JF333973387GB,SA12BU,SA1,51.633278,-3.942905
4,FY651145385GB,SA148SH,SA14,51.688557,-4.137349
5,JF391385377GB,SA58JB,SA5,51.637548,-3.974216
6,JF384254946GB,SA147AZ,SA14,51.802694,-4.088561
7,JW324192762GB,SA127PT,SA12,51.604717,-3.832236
8,QJ192299042GB,SA18PN,SA1,51.623461,-3.903796
9,FQ557519499GB,SA147PW,SA14,51.799977,-4.048864
10,FQ292774870GB,SA27DU,SA2,51.612919,-4.023238
11,FY343531145GB,SA46QN,SA4,51.66023,-4.05529
12,JX366353219GB,SA43SJ,SA4,51.63375,-4.129222
13,FQ490371842GB,SA149PG,SA14,51.679299,-4.1052339999999985
14,FY347877125GB,SA66BR,SA6,51.671451,-3.941776
15,JW324082016GB,SA65EQ,SA6,51.696172,-3.907136
16,JX366340759GB,SA16RG,SA1,51.633773,-3.977867
17,JX270307155GB,SA79NR,SA7,51.675808,-3.876239
18,QJ189806535GB,SA182EN,SA18,51.802073,-3.990695
19,FR951782615GB,SA44DN,SA4,51.668811,-4.0308769999999985
20,FY207378132GB,SA57EF,SA5,51.647357,-3.952281
21,FY310137664GB,SA16EJ,SA1,51.621972,-3.94953
22,FQ817875977GB,SA49SA,SA4,51.666344,-4.016942
23,FR988561529GB,SA12BJ,SA1,51.623627,-3.940845
24,JX366264023GB,SA68RB,SA6,51.663832,-3.907961
25,JF384131332GB,SA33AX,SA3,51.580466,-4.04235
26,FQ817878562GB,SA11AA,SA1,51.647984,-3.923586
27,FQ649712572GB,SA146BD,SA14,51.753424,-4.117686
28,FQ815840578GB,SA92BJ,SA9,51.752071,-3.795137
29,FQ050222455GB,SA27SX,SA2,51.62360200000001,-4.031559
30,FQ819958440GB,SA146LG,SA14,51.785408,-4.125875
31,JX180929599GB,SA79JA,SA7,51.694173,-3.873251
32,FY207376176GB,SA57EG,SA5,51.648726,-3.956488
33,FR957599419GB,SA107SF,SA10,51.670986,-3.812277
34,QJ192328177GB,SA66EY,SA6,51.671714,-3.955773
35,QT155932551GB,SA181BT,SA18,51.812282,-3.867266
36,FY204022642GB,SA58EQ,SA5,51.641889,-3.972237
37,FY147480625GB,SA57PP,SA5,51.728819,-3.988763
38,QJ192298719GB,SA147PW,SA14,51.799977,-4.048864
39,FY343512291GB,SA152TD,SA15,51.67937,-4.168061
40,FQ292777712GB,SA46SA,SA4,51.666669,-4.0660370000000015
41,JF384285855GB,SA33BU,SA3,51.570752,-4.0399080000000005
42,FR988565477GB,SA27NL,SA2,51.621507,-4.01176
43,FY207355030GB,SA13PE,SA1,51.619225,-3.944934
44,JX365812491GB,SA68BS,SA6,51.666318,-3.953082
45,QT157355701GB,SA43JQ,SA4,51.63563,-4.09626
46,FQ764500992GB,SA29DG,SA2,51.619166,-3.9834
47,FY154344293GB,SA146TH,SA14,51.800481,-4.107831
48,JF384212570GB,SA28AA,SA2,51.613126,-3.992222
49,FY339253043GB,SA128HN,SA12,51.599224,-3.786691
50,FQ430029689GB,SA31BB,SA3,51.569545,-4.207867
51,FQ474225007GB,SA146LG,SA14,51.785408,-4.125875
52,QJ481723546GB,SA34HT,SA3,51.5697,-3.993338
53,JX302296893GB,SA149EL,SA14,51.6838,-4.121472
54,FY183146750GB,SA108AA,SA10,51.699801,-3.810635
55,JF384231826GB,SA107BQ,SA10,51.681948,-3.830175
56,QA499668292GB,SA91AF,SA9,51.766817,-3.772477
57,JF384245683GB,SA132TA,SA13,51.562947,-3.731626
58,QA516806115GB,SA43JB,SA4,51.632698,-4.09124
