,barcode,postcode,district,latitude,longitude
0,QA342555049GB,N99UL,N9,51.62344,-0.08224
1,FY310127843GB,N153HL,N15,51.586067,-0.098278
2,FQ559082935GB,N227UW,N22,51.599466,-0.13643
3,JX290142671GB,N209AA,N20,51.631573,-0.173854
4,FY338243036GB,N182HS,N18,51.615238,-0.053812
5,QA419148809GB,N167BU,N16,51.559335,-0.065981
6,QJ470133662GB,N228DE,N22,51.602215,-0.120997
7,QJ171640954GB,N113HL,N11,51.616079,-0.153155
8,QJ485986565GB,N208PJ,N20,51.62932,-0.198016
9,FQ430032087GB,N135HB,N13,51.61897800000001,-0.10321500000000003
10,JG908130363GB,N97BY,N9,51.637117,-0.054378
11,JF386660920GB,N135LF,N13,51.61665,-0.10546400000000003
12,FQ538769953GB,N212DN,N21,51.64060300000001,-0.084233
13,QJ231171779GB,N178NP,N17,51.601191,-0.06996799999999999
14,JF384166464GB,N226ET,N22,51.597321,-0.10354
15,FR962322742GB,N97AN,N9,51.626588,-0.05875900000000001
16,JX365537247GB,N176AW,N17,51.596967,-0.092784
17,QJ468285015GB,N177AL,N17,51.601564,-0.082988
18,FQ434161705GB,N182JN,N18,51.612449,-0.060749
19,QA421200051GB,N213DB,N21,51.628764,-0.113398
20,JW324281241GB,N226RU,N22,51.596083,-0.094308
21,JF384090315GB,N145DH,N14,51.630402,-0.139916
22,JF384153179GB,N179HW,N17,51.589792,-0.067589
23,TJ580721762GB,N212AX,N21,51.636782,-0.08211
24,FQ350640089GB,N181NE,N18,51.618242,-0.084452
25,JX361055726GB,N213PD,N21,51.630713,-0.098752
26,JF384171742GB,N99PG,N9,51.628201,-0.068255
27,FQ815848245GB,N111PN,N11,51.615078,-0.14216099999999998
28,FQ381429277GB,N182TW,N18,51.611076,-0.065848
29,FY310136686GB,N176DX,N17,51.590237,-0.080813
30,JF384144659GB,N227ST,N22,51.597637,-0.119294
31,FY343513147GB,N182HA,N18,51.616226,-0.053726
32,YJ317399727GB,N178JG,N17,51.606873,-0.077696
33,TJ605707741GB,N99EP,N9,51.632108,-0.06739500000000001
34,FR988570812GB,N153PU,N15,51.586849,-0.096037
35,JX365436265GB,N134HD,N13,51.615837,-0.115884
36,FY164455285GB,N145PA,N14,51.633156,-0.129313
37,JX109015813GB,N165RE,N16,51.571702,-0.074865
38,FY651147491GB,N167NR,N16,51.55768,-0.073988
39,JX364837355GB,N167NL,N16,51.557838,-0.072825
40,FQ647799205GB,N167AA,N16,51.563781,-0.069472
41,FQ336629856GB,N99LS,N9,51.623732,-0.069341
42,FQ686847432GB,N200TH,N20,51.63003,-0.160839
43,JF384275915GB,N213AG,N21,51.629471,-0.101983
44,QJ192078602GB,N212NN,N21,51.637988,-0.09654
45,FY192593720GB,N112DN,N11,51.606924,-0.123633
46,FQ815838866GB,N154BN,N15,51.588427,-0.07039
47,JG908120321GB,N147AA,N14,51.625453,-0.125064
48,FY310131595GB,N165GY,N16,51.567575,-0.074318
49,QA521005735GB,N183AT,N18,51.615531,-0.043735
50,FY183146145GB,N135EL,N13,51.616512,-0.094174
51,JW320672176GB,N169ES,N16,51.561043,-0.08402899999999999
52,FY310141981GB,N179RE,N17,51.595834,-0.064243
53,FY315315335GB,N155JA,N15,51.585163,-0.085801
54,FY184889467GB,N111EY,N11,51.629245,-0.14921099999999998
55,FY343502440GB,N99JJ,N9,51.634103,-0.07114
56,JG908123685GB,N98NP,N9,51.631054,-0.044509
57,QJ183320802GB,N97PY,N9,51.634022,-0.064597
58,FQ521622300GB,N177HX,N17,51.603269,-0.092707
59,FQ170935569GB,N228DE,N22,51.602215,-0.120997
60,FY183146763GB,N179YD,N17,51.597688,-0.056685
61,FY347880671GB,N179FS,N17,51.593527,-0.055765
62,QA499670645GB,N160LH,N16,51.562584,-0.073793
63,FQ678050519GB,N144TB,N14,51.644009,-0.116884
64,FQ647794874GB,N166TS,N16,51.576043,-0.068173
65,JF384305325GB,N135EX,N13,51.619811,-0.105232
66,FR988560157GB,N179FY,N17,51.588655,-0.058067
67,FY343515845GB,N183BW,N18,51.608789,-0.042924
68,QA499662666GB,N155AA,N15,51.58528,-0.07813099999999999
69,FR946100375GB,N165SA,N16,51.566453,-0.075407
70,FQ527489612GB,N208BU,N20,51.627381,-0.185956
71,JF386654941GB,N134RE,N13,51.620001,-0.110309
72,QA499676458GB,N90TY,N9,51.624649,-0.059001
73,JX366172392GB,N179DH,N17,51.594556,-0.063056
74,QJ333968104GB,N211SX,N21,51.646776,-0.111147
75,JX366350889GB,N165ED,N16,51.570794,-0.08144
76,JX366088641GB,N228JQ,N22,51.607276,-0.112469
77,JX339008771GB,N156PS,N15,51.575943,-0.079593
78,JF049196444GB,N176TR,N17,51.589992,-0.079202
79,QJ472554861GB,N112TP,N11,51.608618,-0.123866
80,FY339254715GB,N135DR,N13,51.617325,-0.093866
81,FQ647794004GB,N135HS,N13,51.61616,-0.100747
82,QA499673743GB,N135XL,N13,51.62057,-0.105966
83,FQ817878681GB,N146BW,N14,51.630585,-0.12829200000000002
84,JG908150725GB,N160DJ,N16,51.559117,-0.076796
85,FQ679962446GB,N213BA,N21,51.626382,-0.097272
86,QJ192298563GB,N112BA,N11,51.604455,-0.13063699999999998
87,QT157359646GB,N160AY,N16,51.561991,-0.07765599999999999
88,FY310117660GB,N135DE,N13,51.618936,-0.089522
89,TJ605698585GB,N135DS,N13,51.61708400000001,-0.095609
90,FY299264805GB,N166NA,N16,51.568648,-0.065759
91,FQ533429989GB,N111AT,N11,51.615811,-0.12925
92,FQ088319304GB,N182TB,N18,51.608939,-0.067715
93,JF333972625GB,N179PS,N17,51.585843,-0.058749
94,FQ660231745GB,N135AJ,N13,51.62448,-0.094202
95,FY651148611GB,N144BS,N14,51.637453,-0.12926600000000002
96,JW211295332GB,N153LX,N15,51.589425,-0.095698
97,QA471061406GB,N134QU,N13,51.61934,-0.108877
98,FQ778000197GB,N212BD,N21,51.638339,-0.08547
99,FY310117775GB,N211JG,N21,51.639202,-0.111577
100,FY299264655GB,N134QA,N13,51.622655,-0.113723
101,JX366430176GB,N227RU,N22,51.600025,-0.125173
102,QA516805693GB,N179GP,N17,51.589926,-0.056486
