,depot,pc_001,pc_002,pc_003,pc_004,pc_005,pc_006,pc_007,pc_008,pc_009,pc_010,pc_011,pc_012,pc_013,pc_014,pc_015,pc_016,pc_017,pc_018,pc_019,pc_020,pc_021,pc_022,pc_023,pc_024,pc_025,pc_026,pc_027,pc_028,pc_029,pc_030,pc_031,pc_032,pc_033,pc_034,pc_035,pc_036,pc_037,pc_038,pc_039,pc_040,pc_041,pc_042,pc_043,pc_044,pc_045,pc_046,pc_047,pc_048,pc_049,pc_050
depot,0.0,24.55,8.94,3.89,10.85,26.67,2.47,7.75,16.88,31.77,15.61,37.55,5.69,7.29,15.5,27.07,32.48,9.83,23.64,27.61,6.78,6.0,9.07,33.34,7.78,15.26,4.92,29.39,6.57,10.8,51.79,53.79,42.42,4.73,1.9,20.08,33.28,32.71,10.91,9.23,4.61,5.48,11.41,17.4,29.77,10.69,25.64,19.1,5.86,13.59,9.67
pc_001,25.05,0.0,24.96,24.45,9.52,3.04,23.65,23.76,13.61,11.29,40.29,25.44,20.79,28.35,11.43,38.53,49.99,9.57,10.42,4.34,19.65,23.94,10.84,32.14,28.85,16.92,20.61,46.9,18.45,9.59,31.31,45.61,21.94,26.51,24.42,18.09,50.8,12.23,9.43,10.6,25.68,27.55,12.41,13.96,11.91,12.23,5.85,9.01,26.93,10.51,9.71
pc_002,7.53,23.2,0.0,8.71,13.6,25.32,7.91,1.35,11.87,30.42,24.24,36.2,3.16,11.55,14.15,17.61,34.15,12.58,22.3,26.26,9.44,8.81,11.82,31.99,13.16,13.91,5.49,31.05,8.54,13.55,50.44,52.44,41.07,10.82,8.73,18.73,34.95,31.36,13.66,11.43,9.99,10.29,12.26,16.05,28.42,11.34,24.29,17.75,11.24,18.97,12.42
pc_003,3.87,24.23,8.57,0.0,7.02,26.35,3.41,7.38,6.62,31.45,23.8,37.23,6.38,12.98,15.18,22.14,33.5,6.0,23.32,27.29,2.8,2.02,5.24,33.02,4.17,4.78,3.47,30.41,3.52,6.96,51.47,53.47,42.1,5.11,5.36,19.76,34.31,32.39,7.08,5.4,4.74,1.65,5.81,17.08,29.45,4.88,9.53,18.78,5.92,9.03,5.84
pc_004,10.93,9.49,13.63,7.12,0.0,6.47,9.88,12.62,5.09,19.03,26.78,33.19,10.95,17.53,10.64,28.99,40.35,2.98,18.16,4.67,4.93,5.1,2.86,30.56,6.8,6.83,8.46,37.26,5.72,0.29,39.04,53.35,29.68,9.53,13.13,17.3,41.15,19.96,0.09,4.46,11.34,6.1,2.85,6.27,19.65,3.71,3.32,16.75,9.2,2.22,2.26
pc_005,27.33,3.01,27.24,26.73,6.47,0.0,25.93,26.04,7.32,13.56,42.57,27.72,23.07,30.63,13.71,40.81,52.27,6.53,12.7,1.8,9.61,9.73,7.79,34.42,13.45,9.05,22.89,49.18,9.86,6.54,33.58,47.89,24.21,28.79,26.7,20.37,53.08,14.5,6.38,7.55,27.96,11.1,9.37,7.64,14.19,9.18,2.8,11.29,29.21,7.46,6.67
pc_006,2.42,23.56,7.91,3.28,10.23,25.68,0.0,6.71,9.35,30.79,23.13,36.56,6.0,9.03,14.51,21.48,32.84,9.22,22.66,26.63,6.16,5.38,8.46,32.35,6.32,8.14,4.3,29.74,5.96,10.18,50.8,52.8,41.44,3.3,3.91,19.1,33.64,31.72,10.29,8.62,2.93,3.74,8.28,16.41,28.78,7.36,24.65,18.12,4.11,12.13,9.06
pc_007,6.29,22.19,1.35,7.46,14.26,24.31,6.67,0.0,10.83,29.42,23.2,35.19,2.15,10.37,13.14,18.76,32.91,13.24,21.29,25.25,8.43,8.86,12.48,30.98,11.92,12.9,4.48,29.81,7.54,14.21,49.43,51.43,40.07,9.58,7.49,17.73,33.71,30.35,14.32,10.42,8.75,9.05,15.55,15.04,27.41,14.83,23.28,16.75,10.0,17.73,13.09
pc_008,9.64,9.33,11.68,6.26,5.05,7.51,9.19,10.68,0.0,18.23,33.13,26.79,9.01,21.2,6.95,31.37,42.84,1.79,10.64,6.62,4.36,3.73,3.13,27.31,7.25,2.57,6.51,39.75,3.51,4.83,38.25,47.76,28.88,10.07,17.26,14.05,43.64,19.16,5.08,1.92,18.52,5.92,4.69,2.58,18.65,4.4,4.92,9.03,9.73,7.12,2.54
pc_009,32.01,11.45,31.92,31.41,18.95,13.53,30.61,30.72,19.78,0.0,47.25,24.67,27.75,35.31,18.39,45.49,56.96,18.99,17.38,14.48,26.61,30.9,20.25,39.1,35.81,23.88,27.57,53.86,25.41,19.02,25.03,50.04,15.78,33.47,31.38,25.05,57.76,5.95,18.86,20.01,32.64,34.51,21.03,20.92,11.29,21.64,15.26,15.97,33.89,19.94,19.13
pc_010,16.44,41.48,21.87,24.98,27.69,43.6,18.01,23.04,34.17,48.71,0.0,54.41,25.72,9.68,32.35,13.98,19.46,25.13,40.5,44.47,21.56,26.3,24.37,50.2,20.65,32.12,25.44,16.37,26.87,26.95,68.64,70.65,59.36,18.78,15.81,36.94,18.3,49.56,27.69,34.58,17.05,18.93,24.28,34.25,46.63,23.56,42.49,35.96,18.73,26.46,24.98
pc_011,37.25,23.67,37.16,36.65,31.2,25.79,35.85,35.97,26.44,23.71,52.29,0.0,32.99,40.56,21.64,50.73,62.2,26.64,15.89,26.73,31.86,36.14,28.16,29.79,41.05,29.13,32.81,59.1,30.65,31.28,50.91,25.85,30.31,38.72,36.62,26.79,63.0,31.83,31.11,28.02,37.88,39.76,33.28,24.43,12.06,43.96,27.51,17.0,39.13,32.2,26.78
pc_012,5.59,20.52,3.16,6.76,10.92,22.64,5.97,2.15,9.19,27.75,24.14,33.52,0.0,11.63,11.47,20.6,34.05,9.9,19.62,23.58,6.76,6.13,9.14,29.31,13.06,11.23,2.81,30.96,5.87,10.87,47.76,49.76,38.4,8.22,7.08,16.05,34.86,28.68,10.98,8.75,9.9,8.35,9.58,13.37,25.74,8.67,21.61,15.07,9.03,12.23,9.75
pc_013,21.94,46.34,30.71,23.04,27.16,48.46,21.27,29.52,38.68,53.57,19.22,59.34,30.58,0.0,37.29,35.88,35.13,26.24,45.44,49.41,24.43,24.22,25.44,55.13,20.13,37.05,30.3,35.33,25.0,26.42,73.58,75.58,64.22,18.26,21.31,41.88,30.3,54.5,27.17,25.64,19.52,22.19,23.76,39.19,51.56,23.04,47.43,40.9,18.21,25.94,26.25
pc_014,15.79,11.64,15.7,15.19,10.57,13.75,14.39,14.51,6.71,18.86,30.83,21.69,11.53,19.1,0.0,29.27,40.74,7.44,5.54,14.7,10.4,14.68,8.78,21.08,19.59,7.67,11.36,37.65,9.19,10.35,38.88,41.53,29.51,17.26,15.16,7.82,41.54,19.79,10.6,8.28,16.43,18.3,23.23,4.43,16.86,22.5,12.72,3.93,17.68,20.16,8.41
pc_015,28.3,38.74,17.7,22.22,29.02,40.86,21.42,18.85,31.08,45.97,13.88,51.75,20.69,19.83,29.69,0.0,12.92,28.0,37.84,41.81,24.39,23.61,27.24,47.53,32.11,29.46,22.68,9.91,24.19,28.96,65.98,67.04,56.62,29.77,27.68,34.28,15.08,46.9,29.08,27.41,28.94,23.81,35.74,31.59,43.97,35.02,39.83,33.3,30.19,37.92,27.84
pc_016,32.91,50.47,34.84,33.97,40.77,52.59,33.17,33.65,42.81,57.7,16.29,63.47,34.71,24.44,41.42,13.12,0.0,39.75,49.57,53.53,36.14,35.36,38.99,59.26,36.72,41.18,34.42,2.75,35.94,40.71,77.71,79.71,68.35,34.38,32.29,46.01,5.32,58.63,40.83,43.65,33.55,35.42,40.35,43.32,55.69,39.63,51.56,45.02,34.8,42.53,39.59
pc_017,9.46,9.56,12.45,5.65,3.1,6.54,9.0,11.44,1.74,19.1,23.31,26.65,9.77,14.98,7.38,27.52,38.88,0.0,11.07,5.66,3.51,3.63,1.34,27.29,6.64,3.98,7.28,41.38,4.27,2.88,39.11,47.75,29.75,9.46,10.95,14.04,39.69,20.03,3.14,1.45,8.88,5.0,3.11,3.01,18.87,3.79,3.96,9.46,9.13,5.17,0.72
pc_018,23.23,10.39,23.14,22.63,17.93,12.51,21.83,21.94,10.34,17.62,38.26,15.9,18.97,26.53,5.54,36.71,48.17,12.62,0.0,13.46,17.83,22.12,14.14,23.06,27.03,15.1,18.79,45.08,16.63,14.58,37.63,37.18,28.27,24.69,22.6,12.25,48.98,18.55,17.84,11.91,23.86,25.73,17.25,8.32,11.89,29.94,11.48,1.69,25.11,18.92,12.76
pc_019,28.28,4.31,28.19,10.87,4.69,1.79,26.88,27.0,6.43,14.52,43.31,28.68,24.02,31.59,14.66,41.76,53.23,5.64,13.65,0.0,8.73,8.84,6.35,35.37,11.65,8.17,23.84,50.13,8.98,4.76,34.53,48.84,25.17,29.74,27.65,21.32,54.03,15.45,4.6,6.66,28.91,10.21,7.59,6.75,15.14,7.9,1.82,12.24,30.16,5.67,5.78
pc_020,6.63,21.48,9.38,2.76,4.69,9.69,6.17,8.38,4.34,28.7,20.89,34.48,6.71,12.56,12.43,24.25,35.61,3.57,20.57,8.8,0.0,0.73,2.77,28.25,4.39,3.26,4.21,32.51,1.47,4.64,48.72,48.71,39.35,6.83,8.17,15.0,36.41,29.64,4.75,2.98,6.47,2.58,3.05,6.19,26.7,2.31,7.1,16.03,7.2,6.77,3.37
