,id,postcode,latitude,longitude
0,depot,EH12 9PB,55.92849341,-3.301661855
1,pc_001,EH8 8AD,55.950173,-3.182539
2,pc_002,EH6 7PJ,55.969908999999994,-3.153708
3,pc_003,EH9 2JP,55.935547,-3.181293
4,pc_004,EH9 3AX,55.924977,-3.173193
5,pc_005,EH17 7ER,55.912268999999995,-3.140012
6,pc_006,EH3 7RN,55.951331999999994,-3.214396
7,pc_007,EH1 2QP,55.945666,-3.19148
8,pc_008,EH4 5PZ,55.966235,-3.2634849999999997
9,pc_009,EH4 1NS,55.957213,-3.213506
10,pc_010,EH4 5HJ,55.967082999999995,-3.27367
11,pc_011,EH13 9EU,55.91239100000001,-3.22276
12,pc_012,EH2 3AH,55.95146,-3.202676
13,pc_013,EH7 5AH,55.956635999999996,-3.176617
14,pc_014,EH8 7AZ,55.95586700000001,-3.148661
15,pc_015,EH6 4AE,55.975277,-3.180789
16,pc_016,EH9 1ER,55.938919999999996,-3.197677
17,pc_017,EH6 4PW,55.977327,-3.1890400000000003
18,pc_018,EH12 9AD,55.933038,-3.2885440000000004
19,pc_019,EH2 4JS,55.952321999999995,-3.205971
20,pc_020,EH4 7QH,55.959458999999995,-3.2947559999999996
21,pc_021,EH8 9SD,55.942703,-3.178132
22,pc_022,EH9 1NH,55.93933199999999,-3.182961
23,pc_023,EH1 3NZ,55.959536,-3.1844099999999997
24,pc_024,EH13 0LX,55.911542000000004,-3.2667450000000002
25,pc_025,EH6 6DN,55.974782999999995,-3.171368
26,pc_026,EH1 3LH,55.958018,-3.187119
27,pc_027,EH1 3PR,55.955953,-3.193478
28,pc_028,EH6 6QH,55.976515,-3.167766
29,pc_029,EH2 1EY,55.953301,-3.201004
30,pc_030,EH3 8BL,55.944897999999995,-3.206684
31,pc_031,EH4 3HY,55.95281800000001,-3.2370389999999998
32,pc_032,EH9 1DT,55.937509,-3.20234
33,pc_033,EH12 7DA,55.936037,-3.269354
34,pc_034,EH6 8EG,55.967234,-3.162889
35,pc_035,EH3 9JR,55.94319599999999,-3.2033650000000002
36,pc_036,EH4 7AL,55.960044999999994,-3.273888
