,id,postcode,latitude,longitude
0,depot,SA1 1AA,51.64811333,-3.923287957
1,pc_001,SA1 4JL,51.617292,-3.95736
2,pc_002,SA12 9DQ,51.610731,-3.770288
3,pc_003,SA1 4JE,51.616168,-3.958439
4,pc_004,SA1 2BU,51.633278000000004,-3.942905
5,pc_005,SA14 8SH,51.688557,-4.1373489999999995
6,pc_006,SA5 8JB,51.637547999999995,-3.974216
7,pc_007,SA14 7AZ,51.802694,-4.088561
8,pc_008,SA12 7PT,51.604717,-3.832236
9,pc_009,SA1 8PN,51.623461,-3.903796
10,pc_010,SA14 7PW,51.799977,-4.048864
11,pc_011,SA2 7DU,51.612919,-4.023238
12,pc_012,SA4 6QN,51.66023,-4.05529
13,pc_013,SA4 3SJ,51.63375,-4.129222
14,pc_014,SA14 9PG,51.679299,-4.105233999999999
15,pc_015,SA6 6BR,51.671451,-3.9417760000000004
16,pc_016,SA6 5EQ,51.696172,-3.907136
17,pc_017,SA1 6RG,51.633773,-3.977867
18,pc_018,SA7 9NR,51.675808,-3.876239
19,pc_019,SA18 2EN,51.802073,-3.9906949999999997
20,pc_020,SA4 4DN,51.668811,-4.030876999999999
21,pc_021,SA5 7EF,51.647357,-3.9522809999999997
22,pc_022,SA1 6EJ,51.621972,-3.94953
23,pc_023,SA4 9SA,51.666344,-4.016942
24,pc_024,SA1 2BJ,51.623627,-3.9408449999999995
25,pc_025,SA6 8RB,51.663832,-3.9079610000000002
26,pc_026,SA3 3AX,51.580465999999994,-4.04235
27,pc_027,SA1 1AA,51.647984,-3.9235860000000002
28,pc_028,SA14 6BD,51.753424,-4.117686
29,pc_029,SA9 2BJ,51.752071,-3.7951370000000004
30,pc_030,SA2 7SX,51.62360200000001,-4.031559
31,pc_031,SA14 6LG,51.785408000000004,-4.125875
32,pc_032,SA7 9JA,51.694173,-3.873251
33,pc_033,SA5 7EG,51.648726,-3.956488
34,pc_034,SA10 7SF,51.670986,-3.8122769999999995
35,pc_035,SA6 6EY,51.671714,-3.955773
36,pc_036,SA18 1BT,51.812282,-3.8672660000000003
37,pc_037,SA5 8EQ,51.641889,-3.9722370000000002
38,pc_038,SA5 7PP,51.728819,-3.9887629999999996
39,pc_039,SA14 7PW,51.799977,-4.048864
40,pc_040,SA15 2TD,51.67937,-4.168061
41,pc_041,SA4 6SA,51.666669,-4.0660370000000015
42,pc_042,SA3 3BU,51.570752,-4.0399080000000005
43,pc_043,SA2 7NL,51.621507,-4.01176
44,pc_044,SA1 3PE,51.619225,-3.9449339999999995
45,pc_045,SA6 8BS,51.666318,-3.9530819999999998
46,pc_046,SA4 3JQ,51.63563,-4.09626
47,pc_047,SA2 9DG,51.619166,-3.9834
48,pc_048,SA14 6TH,51.800481,-4.107831
49,pc_049,SA2 8AA,51.613126,-3.992222
50,pc_050,SA12 8HN,51.599224,-3.7866910000000003
51,pc_051,SA3 1BB,51.569545,-4.207867
52,pc_052,SA14 6LG,51.785408000000004,-4.125875
53,pc_053,SA3 4HT,51.5697,-3.9933379999999996
54,pc_054,SA14 9EL,51.6838,-4.121472
55,pc_055,SA10 8AA,51.699801,-3.810635
56,pc_056,SA10 7BQ,51.681948,-3.830175
57,pc_057,SA9 1AF,51.766816999999996,-3.772477
58,pc_058,SA13 2TA,51.562946999999994,-3.7316260000000003
59,pc_059,SA4 3JB,51.632698,-4.09124
