,id,postcode,latitude,longitude
0,depot,N17 6PT,51.59389496,-0.071616611
1,pc_001,N9 9UL,51.62344,-0.08224
2,pc_002,N15 3HL,51.586067,-0.09827799999999999
3,pc_003,N22 7UW,51.599466,-0.13643
4,pc_004,N20 9AA,51.631572999999996,-0.173854
5,pc_005,N18 2HS,51.615238,-0.053812
6,pc_006,N16 7BU,51.559335,-0.065981
7,pc_007,N22 8DE,51.602215,-0.12099700000000001
8,pc_008,N11 3HL,51.616079,-0.15315499999999999
9,pc_009,N20 8PJ,51.62932,-0.198016
10,pc_010,N13 5HB,51.61897800000001,-0.10321500000000004
11,pc_011,N9 7BY,51.637116999999996,-0.054377999999999996
12,pc_012,N13 5LF,51.61665,-0.10546400000000004
13,pc_013,N21 2DN,51.64060300000001,-0.084233
14,pc_014,N17 8NP,51.601191,-0.06996799999999999
15,pc_015,N22 6ET,51.597321,-0.10354000000000001
16,pc_016,N9 7AN,51.626588,-0.05875900000000001
17,pc_017,N17 6AW,51.596967,-0.092784
18,pc_018,N17 7AL,51.601564,-0.082988
19,pc_019,N18 2JN,51.612449,-0.060749
20,pc_020,N21 3DB,51.628764000000004,-0.113398
21,pc_021,N22 6RU,51.596083,-0.094308
22,pc_022,N14 5DH,51.630402000000004,-0.139916
23,pc_023,N17 9HW,51.589791999999996,-0.067589
24,pc_024,N21 2AX,51.636782000000004,-0.08211
25,pc_025,N18 1NE,51.618241999999995,-0.084452
26,pc_026,N21 3PD,51.630713,-0.09875199999999999
27,pc_027,N9 9PG,51.628201000000004,-0.068255
28,pc_028,N11 1PN,51.615078000000004,-0.14216099999999998
29,pc_029,N18 2TW,51.611076000000004,-0.065848
30,pc_030,N17 6DX,51.590237,-0.080813
31,pc_031,N22 7ST,51.597637,-0.11929400000000001
32,pc_032,N18 2HA,51.616226,-0.053725999999999996
33,pc_033,N17 8JG,51.606873,-0.077696
34,pc_034,N9 9EP,51.632108,-0.06739500000000001
35,pc_035,N15 3PU,51.586849,-0.096037
36,pc_036,N13 4HD,51.615837,-0.11588399999999999
37,pc_037,N14 5PA,51.633156,-0.129313
38,pc_038,N16 5RE,51.571702,-0.074865
39,pc_039,N16 7NR,51.55768,-0.073988
40,pc_040,N16 7NL,51.557838000000004,-0.072825
41,pc_041,N16 7AA,51.563781,-0.069472
42,pc_042,N9 9LS,51.623732000000004,-0.069341
43,pc_043,N20 0TH,51.63003,-0.160839
44,pc_044,N21 3AG,51.629471,-0.101983
45,pc_045,N21 2NN,51.637988,-0.09654
46,pc_046,N11 2DN,51.606924,-0.12363299999999999
47,pc_047,N15 4BN,51.588427,-0.07039
48,pc_048,N14 7AA,51.625453,-0.125064
49,pc_049,N16 5GY,51.567575,-0.074318
50,pc_050,N18 3AT,51.615531,-0.043735
51,pc_051,N13 5EL,51.616512,-0.09417400000000001
52,pc_052,N16 9ES,51.561043,-0.08402899999999999
53,pc_053,N17 9RE,51.595834,-0.064243
